date,year,month,month_name,day,precipitation_mm,station,latitude,longitude,source
2015-01-01,2015,1,Jan,1,1.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-02,2015,1,Jan,2,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-03,2015,1,Jan,3,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-04,2015,1,Jan,4,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-05,2015,1,Jan,5,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-06,2015,1,Jan,6,0.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-07,2015,1,Jan,7,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-08,2015,1,Jan,8,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-09,2015,1,Jan,9,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-10,2015,1,Jan,10,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-11,2015,1,Jan,11,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-12,2015,1,Jan,12,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-13,2015,1,Jan,13,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-14,2015,1,Jan,14,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-15,2015,1,Jan,15,2.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-16,2015,1,Jan,16,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-17,2015,1,Jan,17,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-18,2015,1,Jan,18,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-19,2015,1,Jan,19,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-20,2015,1,Jan,20,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-21,2015,1,Jan,21,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-22,2015,1,Jan,22,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-23,2015,1,Jan,23,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-24,2015,1,Jan,24,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-25,2015,1,Jan,25,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-26,2015,1,Jan,26,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-27,2015,1,Jan,27,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-28,2015,1,Jan,28,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-29,2015,1,Jan,29,12.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-30,2015,1,Jan,30,3.9,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-01-31,2015,1,Jan,31,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-01,2015,2,Feb,1,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-02,2015,2,Feb,2,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-03,2015,2,Feb,3,3.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-04,2015,2,Feb,4,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-05,2015,2,Feb,5,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-06,2015,2,Feb,6,5.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-07,2015,2,Feb,7,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-08,2015,2,Feb,8,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-09,2015,2,Feb,9,7.5,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-10,2015,2,Feb,10,10.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-11,2015,2,Feb,11,5.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-12,2015,2,Feb,12,2.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-13,2015,2,Feb,13,4.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-14,2015,2,Feb,14,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-15,2015,2,Feb,15,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-16,2015,2,Feb,16,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-17,2015,2,Feb,17,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-18,2015,2,Feb,18,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-19,2015,2,Feb,19,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-20,2015,2,Feb,20,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-21,2015,2,Feb,21,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-22,2015,2,Feb,22,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-23,2015,2,Feb,23,0.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-24,2015,2,Feb,24,13.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-25,2015,2,Feb,25,1.8,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-26,2015,2,Feb,26,6.3,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-27,2015,2,Feb,27,9.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-02-28,2015,2,Feb,28,0.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-01,2015,3,Mar,1,0.4,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-02,2015,3,Mar,2,3.7,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-03,2015,3,Mar,3,0.2,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-04,2015,3,Mar,4,4.6,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-05,2015,3,Mar,5,0.1,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-06,2015,3,Mar,6,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-07,2015,3,Mar,7,0.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
2015-03-08,2015,3,Mar,8,1.0,Colombo,6.9271,79.8612,Open-Meteo Historical API (ERA5 reanalysis)
