Area,Total_Roofed,Tile_%,Asbestos_%,Concrete_%,Zinc_Aluminium_%,Metal_Sheet_%,Cadjan_Straw_%,Other_%
Colombo District,653884,6.12,72.65,19.61,0.62,0.5,0.48,0.02
Colombo,71115,2.11,53.05,42.31,1.35,0.49,0.64,0.05
Kolonnawa,56036,3.81,68.88,25.14,0.65,0.51,0.98,0.04
Kaduwela,79739,6.88,81.61,10.61,0.56,0.14,0.18,0.02
Homagama,79708,8.13,82.06,9.06,0.31,0.26,0.16,0.02
Seethawaka,34410,13.38,75.53,5.66,0.65,3.28,1.49,0.01
Padukka,20689,17.07,76.16,4.33,0.63,1.05,0.75,0.01
Maharagama,56541,5.56,79.28,14.22,0.43,0.19,0.3,0.02
Sri Jayawardenepura Kotte,27830,6.3,75.75,15.43,1.18,0.52,0.8,0.02
Thimbirigasyaya,58092,4.2,55.04,39.05,0.96,0.33,0.41,0.01
Dehiwala,25378,5.48,59.3,34.62,0.32,0.15,0.11,0.02
Ratmalana,25005,5.0,73.85,20.1,0.33,0.63,0.08,0.01
Moratuwa,43980,4.38,78.4,15.87,0.25,0.28,0.81,0.01
Kesbewa,75361,5.83,80.45,12.88,0.38,0.28,0.17,0.01
