osm_id,city,latitude,longitude,area_m2,roof_type,runoff_coeff,building,building_levels
83981239,Colombo,6.9247,79.8756,1401.8300,Concrete,0.8500,yes,
98046408,Colombo,6.9302,79.8469,1631.9300,Asbestos,0.7000,office,8
105734017,Colombo,6.9353,79.8612,6280.3100,Concrete,0.8500,yes,
105734020,Colombo,6.9207,79.8563,3760.8300,Concrete,0.8500,yes,3
114472752,Colombo,6.9420,79.8527,512.1100,Asbestos,0.7000,yes,
114472754,Colombo,6.9438,79.8538,694.5800,Concrete,0.8500,yes,
114472756,Colombo,6.9528,79.8451,86.7000,Concrete,0.8500,yes,
114472757,Colombo,6.9419,79.8429,482.0900,Concrete,0.8500,roof,
114472758,Colombo,6.9533,79.8456,256.4000,Asbestos,0.7000,yes,
114472761,Colombo,6.9414,79.8463,6020.2100,Asbestos,0.7000,yes,
114472762,Colombo,6.9524,79.8450,303.9000,Asbestos,0.7000,yes,
114472763,Colombo,6.9413,79.8425,323.3600,Concrete,0.8500,yes,
114472768,Colombo,6.9376,79.8481,2778.3200,Concrete,0.8500,yes,
114472769,Colombo,6.9413,79.8427,923.1100,Concrete,0.8500,yes,
114472775,Colombo,6.9386,79.8462,486.8600,Asbestos,0.7000,yes,
114472776,Colombo,6.9402,79.8501,1391.6500,Asbestos,0.7000,yes,
114472778,Colombo,6.9403,79.8429,676.3900,Asbestos,0.7000,yes,
114472779,Colombo,6.9397,79.8501,2465.9800,Asbestos,0.7000,yes,
114472780,Colombo,6.9410,79.8437,181.0300,Concrete,0.8500,yes,
114472782,Colombo,6.9441,79.8540,1143.4400,Concrete,0.8500,yes,
114472785,Colombo,6.9396,79.8458,5522.2000,Concrete,0.8500,yes,
114472787,Colombo,6.9443,79.8544,2486.1400,Asbestos,0.7000,yes,
114472791,Colombo,6.9531,79.8454,81.7500,Concrete,0.8500,yes,
114472793,Colombo,6.9412,79.8469,6020.0600,Concrete,0.8500,yes,
114472795,Colombo,6.9394,79.8464,5521.4900,Concrete,0.8500,yes,
114472796,Colombo,6.9412,79.8442,382.9700,Asbestos,0.7000,yes,
114472797,Colombo,6.9412,79.8521,203.7500,Asbestos,0.7000,yes,
114472798,Colombo,6.9523,79.8449,152.5800,Asbestos,0.7000,yes,
114472800,Colombo,6.9416,79.8525,243.3300,Asbestos,0.7000,yes,
114472801,Colombo,6.9463,79.8553,3986.3900,Concrete,0.8500,yes,
114472805,Colombo,6.9386,79.8498,350.1000,Concrete,0.8500,yes,
114472806,Colombo,6.9411,79.8519,234.7400,Concrete,0.8500,yes,
114472807,Colombo,6.9395,79.8424,1813.9400,Asbestos,0.7000,yes,
114472808,Colombo,6.9388,79.8494,55.0300,Asbestos,0.7000,yes,
114472810,Colombo,6.9385,79.8455,491.3100,Asbestos,0.7000,yes,
114472811,Colombo,6.9405,79.8524,2223.8900,Asbestos,0.7000,yes,
114472815,Colombo,6.9400,79.8498,1361.2400,Asbestos,0.7000,yes,
114472817,Colombo,6.9408,79.8432,188.5800,Asbestos,0.7000,yes,
